Company Name,Country,Sector
Haverford College,United States,Academia
Hochschule Darmstadt University of Applied Science,Germany,Academia
Hokkaido University,Japan,Academia
Honeywell UOP,United States,Industry
Household & Commercial Products Association (HCPA),United States,Other
Hovione,Portugal,Industry
IBM Research,United States,Industry
Indian Institute of Technology Bombay (IIT Bombay),India,Academia
Indian Institute of Technology Delhi (IIT Delhi),India,Academia
Indian Institute of Technology Kharagpur (IIT Kharagpur),India,Academia
Indian Institute of Technology Madras (IIT Madras),India,Academia
Indian Institute of Technology Patna (IIT Patna),India,Academia
Indiana Consortium for Analytical Science & Engineering (ICASE),United States,Academia
Indiana University (IU),United States,Academia
Ingevity,United States,Industry
InnoSyn B.V.,Netherlands,Industry
Institut Lavoisier de Versailles,France,Academia
Institute for Research in Catalysis and Petrochemistry (INCAPE)- UNL,Argentina,Academia
"Institute of Polymers, Bulgarian Academy of Sciences",Bulgaria,Government Sector
Instituto de Quimica Rosario (IQUIR CONICET UNR) ,Argentina,Academia
Interface,United States,Industry
International Custom Solutions,United States,Industry
International Flavors & Fragrances Inc. (IFF),United States,Industry
Intitut de Biomolecules Max Mousseron (IBMM) ,France,Academia
IOP Publishing,United Kingdom,Industry
Iowa State Univeristy,United States,Academia
Jackson State University,United States,Academia
Japan Association for Chemical Innovation,Japan,Other
Japan/Tokyo Metropolitan University,Japan,Academia
Johnson Matthey,United States,Industry
Joseph Sarwuan Tarka University Makurdi,Nigeria,Academia
"J-Star Research, Inc.",United States,Industry
Kao Corporation,Japan,Industry
Kasidan Pharmacy Limited,Nigeria,Industry
Kent State University,United States,Academia
Kenyon College,United States,Academia
King Abdullah University of Science & Technology (KAUST),Saudi Arabia,Academia
King Mongkut's University of Technology Thonburi,Thailand,Academia
"KolaDaisi University, Ibadan, Nigeria",Nigeria,Academia
Kwame Nkrumah University of Science and Technology,Ghana,Academia
Kyoto University,Japan,Academia
Kyushu University,Japan,Academia
Ladoke Akintola University of Technology Ogbomoso,Nigeria,Academia
Lane College,United States,Academia
Lawrence Berkeley National Laboratory,United States,Government Sector
Lehigh University,United States,Academia
Leuphana University,Germany,Academia
Loyola University New Orleans,United States,Academia
Lubrizol,United States,Industry
Maharaja Ganga Singh University,India,Academia
Massachusetts Institute of Technology (MIT),United States,Academia
"Matmerize, Inc.",United States,Industry
Max Planck Institute,Germany,Non-Governmental Organization
Maynooth University,Ireland,Academia
McGill University,Canada,Academia
McNeese State University,United States,Academia
Memorial University of Newfoundland,Canada,Academia
"Merck & Co., Inc.",United States,Industry
Merck KGaA,United Kingdom,Industry
Michigan State University (MSU),United States,Academia
Middle Georgia State University,United States,Academia
Middle Tennesse State University,United States,Academia
Milliken & Company,United States,Industry
MilliporeSigma,United States,Industry
Milwaukee School of Engineering (MSOE),United States,Academia
Mindanao State University (MSU) Iligan Institute of Technology,Philippines,Academia
Mirpur University of Science and Technology,Pakistan,Academia
Mississippi Valley State University,United States,Academia
Mitsubishi Chemical Corporation,United States,Industry
"Mitsubishi Gas Chemical Company, Inc.",Japan,Industry
Mitsui Chemicals Inc,Japan,Industry
Mocka Biosciences LLC,United States,Industry
Monash University,Australia,Academia
Morgan State University,United States,Academia
NanoSoils,Australia,Industry
National Academy of Sciences (NAS),United States,Non-Governmental Organization
National Atomic Energy Commission,Argentina,Government Sector
National Institute of Advanced Industrial Science and Technology (AIST),Japan,Government Sector
National Open University of Nigeria,Nigeria,Academia
National Renewable Energy Laboratory (NREL),United States,Government Sector
National Science Foundation (NSF),United States,Government Sector
National Taiwan University of Science and Technology (NTUST) (TaiwanTech),Taiwan,Academia
National University of Singapore (NUS),Singapore,Academia
Natural Resources Canada,Canada,Government Sector
Nature Computational Science (Springer Nature),United States,Other
Nazarbayev University,Kazakhstan,Academia
NED University of Engineering and Technology,Pakistan,Academia
Nestlé Purina Petcare Company,United States,Industry
Newreka Green-Synth Technologies Pvt. Ltd.,India,Industry
Niger Delta University,Nigeria,Academia
Nigeria Police Academy Wudil Kano State Nigeria,Nigeria,Academia
Nitto Denko Technical,United States,Industry
North Carolina Agricultural and Technical State University,United States,Academia
North Dakota State University,United States,Academia
Northern Arizona University,United States,Academia
Northland Pioneer College,United States,Academia
Northwestern University,United States,Academia
Novartis,United States,Industry
Oak Ridge National Laboratory (ORNL),United States,Government Sector
Obafemi Awolowo University Ile-Ife,Nigeria,Academia
Ochanomizu University,Japan,Academia
Open Reaction Database (ORD),United Kingdom,Other
Oregon Environmental Council (OEC),United States,Non-Governmental Organization
Osaka University,Japan,Academia
Osun State University Osogbo,Nigeria,Academia
Ottawa University,United States,Academia
PAF IAST,Pakistan,Academia
Pennsylvania State University (Penn State),United States,Academia
Pensacola Christian College,United States,Academia
"Petroleum Training Institute, Effurun, Nigeria",Nigeria,Academia
Pfizer,United States,Industry
PharmaBlock Sciences,United States,Industry
Pima Community College,United States,Academia
Pitzer and Scripps Colleges,United States,Academia
Polish Academy of Sciences,Poland,Academia
Politecnico di Torino (PoliTO),Italy,Academia
Polykala Technologies LLC,United States,Industry
Pontifical Catholic University of Puerto Rico,Puerto Rico,Academia
Pontificia Universidad Católica de Chile,Chile,Academia
Porton Pharma Solutions Ltd.,United States,Industry
"PPG Industries, Inc.",United States,Industry
Prairie View A&M University,United States,Academia
Process Profiles,United States,Industry
Procter & Gamble,United States,Industry
PT LAUTAN LUAS,Indonesia,Industry
Pukyong National University,"Korea, Republic of",Academia
Purdue University,United States,Academia
Quaid e Awam University of Engineering Science & Technology ,Pakistan,Academia
Quaid-i-Azam University Islamabad,Pakistan,Academia
Queen's University (Canada),Canada,Academia
Queen's University Belfast,United Kingdom,Academia
Rayonier Advanced Materials (RYAM),United States,Industry
"Research Institute for Fragrance Materials, Inc. (RIFM)",United States,Other
Rhodes University,South Africa,Academia
Rice University,United States,Academia
RiKarbon Inc,United States,Industry
Rivers State University,Nigeria,Academia
Rochester Institute of Technology (RIT),United States,Academia
Rochester School,Colombia,Academia
"RockyTech, Ltd.",United States,Industry
Royal Scientific Society,Jordan,Non-Governmental Organization
Royal Society of Chemistry,United Kingdom,Non-Governmental Organization
S.C. Johnson & Son Inc. (SCJ),United States,Industry
Saint Francis University,United States,Academia
Saint Louis Community College,United States,Academia
Saint Louis University,United States,Academia
Saint Mary’s College of California,United States,Academia
Saint Xavier University,United States,Academia
Saint-Gobain Research North America,United States,Academia
San Bernardino Valley College,United States,Academia
Sanofi,France,Industry
Saudi Aramco,Saudi Arabia,Industry
Schlumberger,United States,Industry
Schrodinger,United States,Industry
Scott Bader Company Limited,United Kingdom,Industry
Scripps Research,United States,Academia
SEPPIC,France,Industry
Seton Hall University,United States,Academia
Shaw University,United States,Academia
Shimadzu Scientific Instruments,United States,Industry
Sinocompound,United States,Industry
SmarterX,United States,Industry
Smithers,United States,Industry
Snapdragon Chemistry,United States,Industry
Sokoto State University,Nigeria,Academia
Soln-gate Institute,Nigeria,Academia
South Dakota School of Mines (SDSMT),United States,Academia
Southern Illinois University (SIU),United States,Academia
Springer Nature,United States,Industry
STERIS,United States,Industry
Stockholm university,Sweden,Academia
Sunthetics,United States,Industry
Suzhou Novartis Technical Development Co. Ltd,Japan,Industry
Swarthmore College,United States,Academia
Swiss Federal Institute of Aquatic Science & Technology (Eawag),Switzerland,Government Sector
Syensqo,Belgium,Industry
Syngenta,United Kingdom,Industry
Syngenta Crop Protection AG,Switzerland,Industry
Takeda Pharmaceuticals,United States,Industry
Technion - Israel Institute of Technology,Israel,Academia
"Technology Greenhouse, LLC",United States,Industry
Texas A&M University,United States,Academia
Texas Southern University,United States,Academia
Texas Tech University,United States,Academia
Texas Woman's University,United States,Academia
The American University of Iraq Slemani,Iraq,Academia
The Boeing Company,United States,Industry
The Chemours Company,United States,Industry
The Coca-Cola Company,United States,Industry
The Estee Lauder Companies,United States,Industry
The Gill Corporation,United States,Industry
The International School Bangalore,India,Academia
"The National Academies of Sciences, Engineering, and Medicine (NASEM)",United States,Non-Governmental Organization
The Ocean Foundation,United States,Non-Governmental Organization
The Resource Efficient and Cleaner Production Centre,Uzbekistan,Government Sector
Thermo Fisher Scientific,United States,Industry
Thieme Group,United Kingdom,Industry
Thomas Jefferson High School for Science and Technology,United States,Academia
Tomas Bata University,Czech Republic,Academia
Topfaith University Mkpatak,Nigeria,Academia
Toronto Metropolitan University,Canada,Academia
Toxics Use Reduction Institute,United States,Government Sector
Trelleborg AB,United Kingdom,Industry
"Umaru Musa Yar'adua University, Katsina",Nigeria,Academia
UNAM CFATA,Mexico,Academia
Unilever,United States,Industry
Univeristy of Chicago,United States,Academia
Universidad de Cordoba,Argentina,Academia
Universidad de El Salvador/ El Salvador University,El Salvador,Academia
Universidad de San Carlos de Guatemala,Guatemala,Academia
Universidad Mayor,Chile,Academia
Universidad Nacional Costa Rica (UNA) (University of Costa Rica),Costa Rica,Academia
Universidad Nacional de Córdoba,Argentina,Academia
Universidad Nacional de Villa Maria,Argentina,Academia
Universidad National Autonoma B Mexico (UNAM CFATA),Mexico,Academia
Universidad Peruana de Ciencias Aplicadas,Peru,Academia
Universidade Estadual de Campinas (UNICAMP),Brazil,Academia
Universita degli Studi di Modena & Reggio Emilia,Italy,Academia
Universitas Pertamina,Indonesia,Academia
Université de Montpellier,France,Academia
Universite des Antilles,France,Academia
Université of Lyon,France,Academia
Universiteit van Amsterdam,Netherlands,Academia
Universiti Malaya,Malaysia,Academia
Universiti Teknologi PETROANS,Malaysia,Academia
University of Abuja,Nigeria,Academia
University of Akron,United States,Academia
University of Alabama,United States,Academia
University of Algarve,Portugal,Academia
University of Amsterdam,Netherlands,Academia
University of Arizona,United States,Academia
University of Auckland,New Zealand,Academia
University of Aveiro (CICECO),Portugal,Academia
University of Belgrade,Serbia,Academia
University of Birmingham,United Kingdom,Academia
University of California Irvine (UC Irvine),United States,Academia
University of California Merced (UC Merced),United States,Academia
University of California Riverside (UC Riverside),United States,Academia
University of California Santa Barbara (UCSB),United States,Academia
University of California Santa Cruz (UC Santa Cruz),United States,Academia
University of Cambridge,United Kingdom,Academia
University of Campania Luigi Vanvitelli,Italy,Academia
University of Campinas,Brazil,Academia
University of Chicago,United States,Academia
University of Chittagong,Bangladesh,Academia
University of Cincinnati,United States,Academia
University of Connecticut,United States,Academia
University of Delaware,United States,Academia
University of Delhi,India,Academia
"University of Education, Winneba, Ghana",Ghana,Academia
University of Energy and Natural Resources,Ghana,Academia
University of Florida,United States,Academia
University of Georgia,United States,Academia
University of Graz,Austria,Academia
University of Guelph,Canada,Academia
University of Ibadan,Nigeria,Academia
University of Illinois Chicago (UIC),United States,Academia
University of Illinois Urbana-Champaign,United States,Academia
University of Ilorin,Nigeria,Academia
University of Johannesburg,South Africa,Academia
University of Kansas,United States,Academia
University of Kentucky,United States,Academia
University of KwaZulu-Natal,South Africa,Academia
University of Lagos,Nigeria,Academia
University of Manchester,United Kingdom,Academia
University Of Maryland Eastern Shore,United States,Academia
University of Massachusetts Boston (UMass Boston),United States,Academia
University of Massachusetts Lowell (UMass Lowell),United States,Academia
"University of Medicine and Pharmacy ""Grigore T. Popa""",Romania,Academia
University of Michigan,United States,Academia
University of Minnesota,United States,Academia
University of Missouri,United States,Academia
University of Modena and Reggio Emilia,Italy,Academia
University of Mount Union,United States,Academia
University of New Hampshire,United States,Academia
University of New Orleans,United States,Academia
University of New South Wales (UNSW),Australia,Academia
University of Nigeria,Nigeria,Academia
University of Nigeria Nsukka,Nigeria,Academia
University of Nottingham,United Kingdom,Academia
University of Pennsylvania,United States,Academia
University of Potsdam,Germany,Academia
University of Puerto Rico,Puerto Rico,Academia
University of Puget Sound,United States,Academia
University of Quindio,Colombia,Academia
University of Rajshahi,Bangladesh,Academia
University of Rochester,United States,Academia
University of Salento,Italy,Academia
University of Sao Paulo,Brazil,Academia
University of South Carolina,United States,Academia
University of Southern California (USC),United States,Academia
University of St. Thomas,United States,Academia
University of Szeged,Hungary,Academia
University of Tennessee,United States,Academia
University of Tennessee Oak-Ridge Innovation Institute,United States,Academia
University of Texas,United States,Academia
University of Texas at Austin (UT Austin),United States,Academia
University of Texas at Dallas (UT Dallas),United States,Academia
University of Texas at El Paso (UT El Paso),United States,Academia
University of the West Indies,Trinidad and Tobago,Academia
University of Toronto,Canada,Academia
University of Turku,Finland,Academia
University of Utah,United States,Academia
University of Uyo,Nigeria,Academia
University of Victoria,Canada,Academia
University of Warsaw,Poland,Academia
University of West Georgia,United States,Academia
University of Wisconsin Madison (UW Madison),United States,Academia
University of Wisconsin Oshkosh (UW Oshkosh),United States,Academia
University of Wisconsin River Falls (UW River Falls),United States,Academia
University of Wuppertal,Germany,Academia
University of York,United Kingdom,Academia
US Department of Agriculture (USDA),United States,Government Sector
"US Department of Agriculture, Agricultural Research Service (USDA ARS)",United States,Government Sector
US Environmental Protection Agency (US EPA),United States,Government Sector
US Food and Drug Administration (US FDA),United States,Government Sector
US Pharmacopeia,United States,other
US Soybean Export Council A.C.,Mexico,Non-Governmental Organization
Utrecht University,Netherlands,Academia
Vanderbilt University,United States,Academia
VelocityEHS,United States,Industry
Vertex Pharmaceuticals,United States,Industry
Villanova University,United States,Academia
Vincennes University,United States,Academia
Virginia Polytechnic Institute and State University (Virginia Tech),United States,Academia
ViridisChem,United States,Industry
Visayas State University Tolosa,Philippines,Academia
Waseda University,Japan,Academia
Washington State Department of Ecology,United States,Government Sector
Washington State University,United States,Academia
Water Resources,United States,Industry
Waters Corporation,United States,Industry
Wayne State University,United States,Academia
Wenzhou-Kean University,China,Academia
Widener University,United States,Academia
Worcester Polytechnic Institute (WPI),United States,Academia
Xavier University of Louisiana,United States,Academia
Yale University,United States,Academia
YellowBox Life Sciences,United States,Industry
York College of Pennsylvania,United States,Academia
Young Harris College,United States,Academia
Yuhan Corporation,"Korea, Republic of",Industry
