Company Name,Country,Sector
Ingevity,United States,Industry
InnoSyn B.V.,Netherlands,Industry
Institut Lavoisier de Versailles,France,Academia
Instituto de Química Rosario,Argentina,Academia
Instituto de Quimica Rosario (IQUIR CONICET UNR) ,Argentina,Academia
International Custom Solutions,United States,Industry
International Flavors & Fragrances Inc. (IFF),United States,Industry
IOP Publishing,United Kingdom,Industry
Jackson State University,United States,Academia
Japan Association for Chemical Innovation,Japan,Other
Japan/Tokyo Metropolitan University,Japan,Academia
Johnson Matthey,United States,Industry
"J-Star Research, Inc.",United States,Industry
Kao Corporation,Japan,Industry
Kent State University,United States,Academia
Kenyon College,United States,Academia
King Abdullah University of Science & Technology (KAUST),Saudi Arabia,Academia
Kyoto University,Japan,Academia
Kyushu University,Japan,Academia
Lehigh University,United States,Academia
Leuphana University,Germany,Academia
Loyola University New Orleans,United States,Academia
Lubrizol,United States,Industry
"Matmerize, Inc.",United States,Industry
Max Planck Institute,Germany,Non-Governmental Organization
Maynooth University,Ireland,Academia
McGill University,Canada,Academia
McNeese State University,United States,Academia
Memorial University,Canada,Academia
Memorial University of Newfoundland,Canada,Academia
"Merck & Co., Inc.",United States,Industry
Merck KGaA,United Kingdom,Industry
Michigan State University (MSU),United States,Academia
Middle Georgia State University,United States,Academia
Milliken & Company,United States,Industry
MilliporeSigma,United States,Industry
Milwaukee School of Engineering (MSOE),United States,Academia
"Mitsubishi Gas Chemical Company, Inc.",Japan,Industry
Mitsui Chemicals Inc,Japan,Industry
Monash University,Australia,Academia
Morgan State University,United States,Academia
NanoSoils,Australia,Industry
National Academy of Sciences (NAS),United States,Non-Governmental Organization
National Atomic Energy Commission,Argentina,Government Sector
National Institute of Advanced Industrial Science and Technology (AIST),Japan,Government Sector
National Renewable Energy Laboratory (NREL),United States,Government Sector
National Science Foundation (NSF),United States,Government Sector
National Taiwan University of Science and Technology (NTUST) (TaiwanTech),Taiwan,Academia
National University of Singapore (NUS),Singapore,Academia
Nazarbayev University,Kazakhstan,Academia
NED University of Engineering and Technology,Pakistan,Academia
Nestlé Purina Petcare Company,United States,Industry
Newreka Green-Synth Technologies Pvt. Ltd.,India,Industry
North Carolina Agricultural and Technical State University,United States,Academia
North Dakota State University,United States,Academia
Northern Arizona University,United States,Academia
Northland Pioneer College,United States,Academia
Northwestern University,United States,Academia
Oak Ridge National Laboratory (ORNL),United States,Government Sector
Ochanomizu University,Japan,Academia
Open Reaction Database (ORD),United Kingdom,Other
Oregon Environmental Council (OEC),United States,Non-Governmental Organization
Osaka University,Japan,Academia
Ottawa University,United States,Academia
Pfizer,United States,Industry
PharmaBlock Sciences,United States,Industry
Pima Community College,United States,Academia
Pitzer and Scripps Colleges,United States,Academia
Polish Academy of Sciences,Poland,Academia
Politecnico di Torino (PoliTO),Italy,Academia
Polykala Technologies LLC,United States,Industry
Pontificia Universidad Católica de Chile,Chile,Academia
Porton Pharma Solutions Ltd.,United States,Industry
Porton USA,United States,Industry
PPG,United States,Industry
Prairie View A&M University,United States,Academia
Procter & Gamble,United States,Industry
Pukyong National University,"Korea, Republic of",Academia
Purdue University,United States,Academia
Queen's University (Canada),Canada,Academia
Queen's University Belfast,United Kingdom,Academia
"Research Institute for Fragrance Materials, Inc. (RIFM)",United States,Other
Rice University,United States,Academia
"RockyTech, Ltd.",United States,Industry
Royal Society of Chemistry,United States,Non-Governmental Organization
S.C. Johnson & Son Inc. (SCJ),United States,Industry
Saint Francis University,United States,Academia
Saint Louis Community College,United States,Academia
Sanofi,United States,Industry
Schlumberger,United States,Industry
Schrodinger,United States,Industry
Scott Bader Company Limited,United Kingdom,Industry
Scripps Research,United States,Academia
SEPPIC,France,Industry
Seton Hall University,United States,Academia
SmarterX,United States,Industry
Snapdragon Chemistry,United States,Industry
Sounth Dakota School of Mines (SDSMT),United States,Academia
Southern Illinois University (SIU),United States,Academia
Springer Nature,United States,Industry
STERIS,United States,Industry
Sunthetics,United States,Industry
Suzhou Novartis Technical Development Co. Ltd,Japan,Industry
Swarthmore College,United States,Academia
Swiss Federal Institute of Aquatic Science & Technology (Eawag),Switzerland,Government Sector
Syensqo,Belgium,Industry
Syngenta,United Kingdom,Industry
Syngenta Crop Protection AG,Switzerland,Industry
Takeda Pharmaceuticals,United States,Industry
Technion - Israel Institute of Technology,Israel,Academia
"Technology Greenhouse, LLC",United States,Industry
Texas A&M University,United States,Academia
Texas Tech University,United States,Academia
Texas Woman's University,United States,Academia
The Boeing Company,United States,Industry
The Chemours Company,United States,Industry
The Coca-Cola Company,United States,Industry
The Gill Corporation,United States,Industry
"The National Academies of Sciences, Engineering, and Medicine",United States,Non-Governmental Organization
The Ocean Foundation,United States,Non-Governmental Organization
The Resource Efficient and Cleaner Production Centre,Uzbekistan,Government Sector
Thermo Fisher Scientific,United States,Industry
Thieme Group,United Kingdom,Industry
Tomas Bata University,Czech Republic,Academia
Toronto Metropolitan University,Canada,Academia
Toxics Use Reduction Institute,United States,Government Sector
Trelleborg AB,United Kingdom,Industry
U.S. Department of Agriculture (USDA),United States,Government Sector
U.S. Food and Drug Administration (FDA),United States,Government Sector
Universidad de San Carlos de Guatemala,Guatemala,Academia
Universidad Mayor,Chile,Academia
Universidad Nacional de Córdoba,Argentina,Academia
Universidad Nacional de Villa Maria,Argentina,Academia
Universidad National Autonoma B Mexico (UNAM CFATA),Mexico,Academia
Universidad National Costa Rica (UNA),Costa Rica,Academia
Universidad Peruana de Ciencias Aplicadas,Peru,Academia
Universidade Estadual de Campinas (UNICAMP),Brazil,Academia
Universita degli Studi di Modena & Reggio Emilia,Italy,Academia
Universitas Pertamina,Indonesia,Academia
Université de Montpellier,France,Academia
Universite des Antilles,France,Academia
Universiteit van Amsterdam,Netherlands,Academia
University of Akron,United States,Academia
University of Alabama,United States,Academia
University of Algarve,Portugal,Academia
University of Amsterdam,Netherlands,Academia
University of Arizona,United States,Academia
University of Auckland,New Zealand,Academia
University of Aveiro,Portugal,Academia
University of Belgrade,Serbia,Academia
University of Birmingham,United Kingdom,Academia
University of California Irvine (UC Irvine),United States,Academia
University of California Merced (UC Merced),United States,Academia
University of California Riverside (UC Riverside),United States,Academia
University of California Santa Barbara (UCSB),United States,Academia
University of California Santa Cruz (UC Santa Cruz),United States,Academia
University of Cambridge,United Kingdom,Academia
University of Campania Luigi Vanvitelli,Italy,Academia
University of Campinas,Brazil,Academia
University of Chicago,United States,Academia
University of Cincinnati,United States,Academia
University of Connecticut,United States,Academia
University of Costa Rica,Costa Rica,Academia
University of Delaware,United States,Academia
"University of Education, Winneba, Ghana",Ghana,Academia
University of Florida,United States,Academia
University of Georgia,United States,Academia
University of Graz,Austria,Academia
University of Guelph,Canada,Academia
University of Ibadan,Nigeria,Academia
University of Johannesburg,South Africa,Academia
University of Kansas,United States,Academia
University of Kentucky,United States,Academia
University of KwaZulu-Natal,South Africa,Academia
University of Manchester,United Kingdom,Academia
University of Massachusetts Boston (UMass Boston),United States,Academia
University of Massachusetts Lowell (UMass Lowell),United States,Academia
"University of Medicine and Pharmacy ""Grigore T. Popa"", Biomedical Sciences Department, Faculty of Me",Romania,Academia
University of Michigan,United States,Academia
University of Minnesota,United States,Academia
University of Missouri St. Louis,United States,Academia
University of Modena and Reggio Emilia,Italy,Academia
University of Mount Union,United States,Academia
University of New Hampshire,United States,Academia
University of New Orleans,United States,Academia
University of New South Wales (UNSW),Australia,Academia
University of Nottingham,United Kingdom,Academia
University of Pennsylvania,United States,Academia
University of Puerto Rico,Puerto Rico,Academia
University of Puget Sound,United States,Academia
University of Quindio,Colombia,Academia
University of Rajshahi,Bangladesh,Academia
University of Rochester,United States,Academia
University of Salento,Italy,Academia
University of Southern California (USC),United States,Academia
University of St. Thomas,United States,Academia
University of Szeged,Hungary,Academia
University of Tennessee,United States,Academia
University of Texas at Austin (UT Austin),United States,Academia
University of Texas at Dallas (UT Dallas),United States,Academia
University of the West Indies,Trinidad and Tobago,Academia
University of Toronto,Canada,Academia
University of Turku,Finland,Academia
University of Utah,United States,Academia
University of Uyo,Nigeria,Academia
University of Victoria,Canada,Academia
University of Warsaw,Poland,Academia
University of West Georgia,United States,Academia
University of Wisconsin Madison (UW Madison),United States,Academia
University of Wisconsin Oshkosh (UW Oshkosh),United States,Academia
University of Wisconsin River Falls (UW River Falls),United States,Academia
University of Wuppertal,Germany,Academia
US Soybean Export Council A.C.,Mexico,Non-Governmental Organization
Utrecht University,Netherlands,Academia
Vanderbilt University,United States,Academia
Vertex Pharmaceuticals,United States,Industry
Villanova University,United States,Academia
Vincennes University,United States,Academia
Virginia Polytechnic Institute and State University (Virginia Tech),United States,Academia
ViridisChem,United States,Industry
Waseda University,Japan,Academia
Wenzhou-Kean University,China,Academia
Widener University,United States,Academia
Worcester Polytechnic Institute (WPI),United States,Academia
Yale University,United States,Academia
YellowBox Life Sciences,United States,Industry
York College of Pennsylvania,United States,Academia
Young Harris College,United States,Academia
Yuhan Corporation,"Korea, Republic of",Industry
